show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s000051,TV Show,Title 249 350,Director_68,"Actor_288, Actor_789, Actor_1869, Actor_764, Actor_1732",Japan,2016-05-22,2023,TV-MA,7 Seasons,"Fantasy, Action",A compelling fantasy story about title 249 350.
s000052,Movie,Title 575 493,Director_251,"Actor_1988, Actor_1688, Actor_929",United States,2014-04-02,2014,TV-14,85 min,"Family, Action",A compelling family story about title 575 493.
s000053,Movie,Title 2 671,,"Actor_1252, Actor_1717",Mexico,2009-02-16,2016,TV-PG,96 min,"Dramas, Crime, Animation",A compelling dramas story about title 2 671.
s000054,TV Show,Title 85 494,,"Actor_1017, Actor_1948, Actor_1305, Actor_305",Canada,2007-08-02,2023,TV-14,3 Seasons,Horror,A compelling horror story about title 85 494.
s000055,Movie,Title 591 204,Director_673,"Actor_1898, Actor_574, Actor_1665",Germany,2024-05-24,2014,R,142 min,Thrillers,A compelling thrillers story about title 591 204.
s000056,TV Show,Title 417 469,Director_147,"Actor_49, Actor_795",United Kingdom,2022-12-23,2011,G,19 Seasons,"Romance, Family, Horror",A compelling romance story about title 417 469.
s000057,TV Show,Title 36 53,Director_497,"Actor_781, Actor_1858, Actor_990, Actor_616, Actor_1183",Australia,2005-07-06,2017,NR,19 Seasons,"Thrillers, Horror",A compelling thrillers story about title 36 53.
s000058,Movie,Title 360 793,,"Actor_429, Actor_394, Actor_1872, Actor_396, Actor_1008, Actor_48",Mexico,2014-07-14,2001,G,107 min,Dramas,A compelling dramas story about title 360 793.
s000059,Movie,Title 338 102,Director_86,"Actor_534, Actor_988, Actor_158, Actor_298, Actor_548, Actor_1689",Spain,2017-02-23,2015,R,119 min,"Comedies, Thrillers, Family",A compelling comedies story about title 338 102.
s000060,Movie,Title 483 707,Director_105,"Actor_1310, Actor_1236, Actor_1337, Actor_33, Actor_323, Actor_753",Brazil,2008-12-22,2016,PG,76 min,"Animation, Reality TV, Romance",A compelling animation story about title 483 707.
s000061,Movie,Title 34 987,Director_154,"Actor_455, Actor_109, Actor_966, Actor_967",India,2013-10-31,1998,TV-14,117 min,"Crime, Horror, Fantasy",A compelling crime story about title 34 987.
s000062,Movie,Title 443 96,,"Actor_1917, Actor_856, Actor_182, Actor_1515, Actor_1780, Actor_1320",Australia,2019-12-12,1992,TV-MA,134 min,"Reality TV, Dramas, Comedies",A compelling reality tv story about title 443 96.
s000063,TV Show,Title 469 906,Director_763,"Actor_944, Actor_306, Actor_385",Australia,2022-04-27,2016,G,4 Seasons,"Dramas, Crime",A compelling dramas story about title 469 906.
s000064,Movie,Title 218 912,Director_340,"Actor_1611, Actor_1285, Actor_1260, Actor_815, Actor_665",India,2015-06-01,1991,TV-MA,180 min,"Dramas, Comedies, Animation",A compelling dramas story about title 218 912.
s000065,Movie,Title 537 11,,"Actor_757, Actor_1503, Actor_579",United States,2010-07-12,2024,PG-13,77 min,"Sci-Fi, Documentaries",A compelling sci-fi story about title 537 11.
s000066,Movie,Title 27 959,,"Actor_187, Actor_733, Actor_1215, Actor_874, Actor_1895",Sweden,2014-11-16,2010,PG-13,118 min,"Sci-Fi, Dramas",A compelling sci-fi story about title 27 959.
s000067,Movie,Title 290 530,Director_690,"Actor_191, Actor_629, Actor_1614, Actor_1695, Actor_1822, Actor_1862",Italy,2009-01-06,2015,R,103 min,"Horror, Family",A compelling horror story about title 290 530.
s000068,Movie,Title 536 42,Director_256,"Actor_1914, Actor_719, Actor_544",Mexico,2013-12-02,1994,R,169 min,"Crime, Reality TV, Horror",A compelling crime story about title 536 42.
s000069,Movie,Title 268 207,Director_372,"Actor_1567, Actor_1439, Actor_1486, Actor_1579, Actor_22",Multiple,2019-10-04,2014,TV-PG,179 min,Comedies,A compelling comedies story about title 268 207.
s000070,TV Show,Title 443 95,Director_136,"Actor_846, Actor_515, Actor_1562, Actor_980, Actor_1929",Canada,2020-11-19,2021,PG-13,10 Seasons,"Comedies, Reality TV, Animation",A compelling comedies story about title 443 95.
s000071,Movie,Title 504 832,Director_24,"Actor_1348, Actor_915, Actor_482, Actor_315, Actor_1864, Actor_1179",Multiple,2014-10-21,1998,G,162 min,"Romance, Kids",A compelling romance story about title 504 832.
s000072,TV Show,Title 64 53,,"Actor_1327, Actor_1742, Actor_1731, Actor_1164, Actor_1012, Actor_776",Italy,2011-09-12,1995,PG,5 Seasons,Kids,A compelling kids story about title 64 53.
s000073,Movie,Title 461 104,Director_271,"Actor_756, Actor_1144, Actor_1885, Actor_1827, Actor_813",France,2021-02-27,2024,TV-MA,122 min,"Fantasy, Family",A compelling fantasy story about title 461 104.
s000074,TV Show,Title 367 776,Director_549,"Actor_100, Actor_1394, Actor_1633, Actor_1512, Actor_871, Actor_30",Brazil,2019-06-10,2013,NR,17 Seasons,"Reality TV, Action",A compelling reality tv story about title 367 776.
s000075,Movie,Title 580 96,,"Actor_1126, Actor_942, Actor_338, Actor_1885, Actor_276, Actor_1718",United States,2021-09-27,2021,TV-MA,72 min,Dramas,A compelling dramas story about title 580 96.
s000076,Movie,Title 141 315,Director_364,"Actor_1343, Actor_1152, Actor_1935",Brazil,2016-01-18,2000,TV-PG,93 min,"Comedies, Sci-Fi, Documentaries",A compelling comedies story about title 141 315.
s000077,TV Show,Title 527 395,Director_159,"Actor_624, Actor_1360, Actor_408, Actor_95, Actor_1007",United States,2020-11-13,1990,G,6 Seasons,"Action, Sci-Fi, Reality TV",A compelling action story about title 527 395.
s000078,TV Show,Title 442 925,Director_650,"Actor_1878, Actor_1879, Actor_1439",India,2023-04-05,2024,PG,3 Seasons,"Family, Animation",A compelling family story about title 442 925.
s000079,TV Show,Title 330 948,Director_310,"Actor_1655, Actor_436, Actor_1955, Actor_372, Actor_39",Multiple,2006-02-17,2003,PG,18 Seasons,"Dramas, Fantasy",A compelling dramas story about title 330 948.
s000080,Movie,Title 548 970,,"Actor_1218, Actor_345",Multiple,2020-09-05,2006,G,99 min,"Horror, Sci-Fi, Fantasy",A compelling horror story about title 548 970.
s000081,TV Show,Title 378 590,Director_645,"Actor_1160, Actor_1266",Spain,2020-12-12,2000,PG-13,12 Seasons,"Animation, Fantasy",A compelling animation story about title 378 590.
s000082,TV Show,Title 33 786,Director_439,"Actor_856, Actor_925, Actor_1705, Actor_1599, Actor_1358, Actor_293",Multiple,2022-07-08,1990,PG,5 Seasons,"Fantasy, Family",A compelling fantasy story about title 33 786.
s000083,Movie,Title 39 299,Director_670,"Actor_1370, Actor_635, Actor_1829, Actor_1680, Actor_287",United Kingdom,2014-03-14,2016,G,89 min,"Horror, Comedies",A compelling horror story about title 39 299.
s000084,Movie,Title 187 248,Director_237,"Actor_489, Actor_593",India,2022-09-18,2003,TV-MA,174 min,Documentaries,A compelling documentaries story about title 187 248.
s000085,Movie,Title 186 307,Director_504,"Actor_741, Actor_1899, Actor_1350",Sweden,2012-04-10,2007,PG,134 min,"Horror, Fantasy",A compelling horror story about title 186 307.
s000086,Movie,Title 539 16,Director_256,"Actor_1019, Actor_737",Mexico,2017-01-15,2015,PG-13,71 min,"Comedies, Fantasy, Kids",A compelling comedies story about title 539 16.
s000087,Movie,Title 8 403,Director_655,"Actor_1529, Actor_1626, Actor_550, Actor_1124",Multiple,2007-08-17,2022,G,76 min,"Documentaries, Fantasy",A compelling documentaries story about title 8 403.
s000088,Movie,Title 73 465,Director_136,"Actor_447, Actor_1122, Actor_1238, Actor_680, Actor_1775, Actor_1465",Multiple,2015-04-12,1990,PG,174 min,"Kids, Thrillers",A compelling kids story about title 73 465.
s000089,Movie,Title 311 898,Director_401,"Actor_1554, Actor_728, Actor_149",South Korea,2015-02-01,2024,R,173 min,Crime,A compelling crime story about title 311 898.
s000090,Movie,Title 363 768,Director_253,"Actor_1331, Actor_1287, Actor_678, Actor_1353",Australia,2014-07-18,2018,TV-PG,164 min,Action,A compelling action story about title 363 768.
s000091,TV Show,Title 451 175,Director_654,"Actor_1210, Actor_123, Actor_416, Actor_513, Actor_1910",Multiple,2024-07-24,1997,NR,15 Seasons,"Dramas, Comedies",A compelling dramas story about title 451 175.
s000092,Movie,Title 154 842,Director_650,"Actor_798, Actor_218, Actor_1996, Actor_1454, Actor_1237",Brazil,2013-11-27,2019,TV-PG,77 min,Dramas,A compelling dramas story about title 154 842.
s000093,Movie,Title 490 436,Director_626,"Actor_1301, Actor_1615, Actor_1337, Actor_639, Actor_308",Australia,2009-01-20,1995,TV-PG,178 min,Crime,A compelling crime story about title 490 436.
s000094,Movie,Title 334 587,Director_66,"Actor_1624, Actor_1751, Actor_1672, Actor_1892, Actor_770, Actor_771",India,2017-03-19,2020,TV-14,156 min,Crime,A compelling crime story about title 334 587.
s000095,Movie,Title 412 468,Director_734,"Actor_222, Actor_686, Actor_457, Actor_322",Spain,2024-11-08,2000,G,161 min,Family,A compelling family story about title 412 468.
s000096,Movie,Title 118 187,Director_151,"Actor_197, Actor_895",Brazil,2017-04-14,2009,G,159 min,"Reality TV, Thrillers",A compelling reality tv story about title 118 187.
s000097,TV Show,Title 185 546,Director_519,"Actor_1830, Actor_821, Actor_288",France,2016-06-18,1992,TV-PG,1 Seasons,Thrillers,A compelling thrillers story about title 185 546.
s000098,Movie,Title 34 511,Director_68,"Actor_1670, Actor_595, Actor_562",Japan,2015-06-24,2010,NR,80 min,"Documentaries, Kids, Family",A compelling documentaries story about title 34 511.
s000099,Movie,Title 52 597,Director_104,"Actor_722, Actor_1705, Actor_1277, Actor_1034, Actor_184, Actor_33",Sweden,2020-06-29,2006,TV-14,153 min,Horror,A compelling horror story about title 52 597.
s000100,Movie,Title 454 38,Director_233,"Actor_793, Actor_1565",Mexico,2020-06-06,1996,NR,158 min,"Thrillers, Reality TV",A compelling thrillers story about title 454 38.
s000101,TV Show,Title 32 588,Director_763,"Actor_1027, Actor_1792, Actor_349",Germany,2005-05-03,2019,TV-14,13 Seasons,"Dramas, Thrillers, Animation",A compelling dramas story about title 32 588.
s000102,Movie,Title 306 583,Director_309,"Actor_1405, Actor_1849",Sweden,2006-10-17,2018,G,172 min,"Kids, Dramas, Reality TV",A compelling kids story about title 306 583.
s000103,Movie,Title 52 146,Director_258,"Actor_314, Actor_1780, Actor_132, Actor_234, Actor_358",Multiple,2006-04-26,2001,TV-PG,171 min,"Reality TV, Comedies",A compelling reality tv story about title 52 146.
s000104,Movie,Title 516 404,Director_398,"Actor_1234, Actor_1057, Actor_936, Actor_1421, Actor_1582",Australia,2016-02-26,1994,TV-PG,147 min,"Action, Documentaries, Thrillers",A compelling action story about title 516 404.
s000105,Movie,Title 418 735,Director_634,"Actor_1565, Actor_908, Actor_1042",Canada,2005-06-09,1990,G,175 min,"Reality TV, Animation",A compelling reality tv story about title 418 735.
s000106,Movie,Title 314 626,Director_159,"Actor_1264, Actor_46",Multiple,2007-10-01,1991,PG,175 min,"Documentaries, Fantasy, Sci-Fi",A compelling documentaries story about title 314 626.
s000107,Movie,Title 126 37,Director_649,"Actor_877, Actor_468, Actor_1922, Actor_465",Germany,2022-07-11,2004,NR,98 min,Reality TV,A compelling reality tv story about title 126 37.
s000108,Movie,Title 239 941,Director_697,"Actor_426, Actor_1414, Actor_1434",Multiple,2013-09-28,2002,TV-PG,122 min,Comedies,A compelling comedies story about title 239 941.
s000109,Movie,Title 97 397,,"Actor_54, Actor_1887",Sweden,2008-10-08,2018,TV-14,166 min,"Animation, Documentaries",A compelling animation story about title 97 397.
s000110,Movie,Title 104 479,Director_572,"Actor_453, Actor_976",Spain,2006-04-11,1991,PG-13,110 min,"Thrillers, Horror, Animation",A compelling thrillers story about title 104 479.
s000111,TV Show,Title 71 823,Director_302,"Actor_209, Actor_13, Actor_1380, Actor_1875, Actor_1569, Actor_1079",Italy,2021-04-23,1997,R,9 Seasons,"Reality TV, Thrillers, Sci-Fi",A compelling reality tv story about title 71 823.
s000112,Movie,Title 338 282,Director_72,"Actor_673, Actor_1053, Actor_1262, Actor_495, Actor_1230",Italy,2013-01-05,1991,TV-MA,156 min,"Horror, Reality TV",A compelling horror story about title 338 282.
s000113,Movie,Title 309 84,Director_426,"Actor_506, Actor_1771, Actor_446, Actor_101, Actor_1756, Actor_15",Italy,2008-04-23,1997,NR,138 min,Kids,A compelling kids story about title 309 84.
s000114,TV Show,Title 265 427,,"Actor_546, Actor_1855",Multiple,2019-07-22,2015,G,16 Seasons,"Fantasy, Dramas, Thrillers",A compelling fantasy story about title 265 427.
s000115,TV Show,Title 335 898,Director_381,"Actor_49, Actor_1050, Actor_1150, Actor_214, Actor_1732",Canada,2024-07-25,2000,TV-14,14 Seasons,Crime,A compelling crime story about title 335 898.
s000116,Movie,Title 593 292,Director_191,"Actor_453, Actor_1474, Actor_570, Actor_180",Multiple,2008-09-22,1994,PG-13,146 min,"Sci-Fi, Horror",A compelling sci-fi story about title 593 292.
s000117,TV Show,Title 451 699,Director_293,"Actor_1481, Actor_577, Actor_1218, Actor_1947, Actor_777",India,2005-03-18,1999,TV-MA,3 Seasons,"Action, Romance, Animation",A compelling action story about title 451 699.
s000118,Movie,Title 241 423,,"Actor_414, Actor_1718",South Korea,2024-10-14,1999,PG-13,137 min,"Dramas, Reality TV, Romance",A compelling dramas story about title 241 423.
s000119,Movie,Title 303 831,Director_717,"Actor_930, Actor_679, Actor_358, Actor_561, Actor_898, Actor_1678",Italy,2019-10-11,2018,TV-14,78 min,"Sci-Fi, Kids, Action",A compelling sci-fi story about title 303 831.
s000120,TV Show,Title 211 344,Director_592,"Actor_1744, Actor_281, Actor_1574, Actor_1970, Actor_461",Italy,2012-05-20,2012,TV-PG,16 Seasons,Romance,A compelling romance story about title 211 344.
s000121,Movie,Title 345 522,Director_337,"Actor_568, Actor_783, Actor_1418, Actor_872",South Korea,2018-11-12,2013,G,170 min,"Thrillers, Dramas",A compelling thrillers story about title 345 522.
s000122,Movie,Title 419 711,,"Actor_1044, Actor_1153",Mexico,2022-12-03,2012,NR,135 min,Documentaries,A compelling documentaries story about title 419 711.
s000123,TV Show,Title 566 355,Director_299,"Actor_1032, Actor_554, Actor_1373, Actor_899, Actor_298, Actor_1038",France,2013-10-22,2006,TV-14,5 Seasons,"Crime, Kids",A compelling crime story about title 566 355.
s000124,Movie,Title 105 38,Director_202,"Actor_1382, Actor_1493, Actor_680, Actor_1107, Actor_1128, Actor_268",Canada,2023-05-09,2000,PG,91 min,"Animation, Documentaries, Action",A compelling animation story about title 105 38.
s000125,Movie,Title 243 405,Director_514,"Actor_346, Actor_1501, Actor_1579",United States,2008-04-27,2003,TV-PG,73 min,"Fantasy, Romance, Animation",A compelling fantasy story about title 243 405.
s000126,TV Show,Title 594 629,Director_424,"Actor_269, Actor_617, Actor_161, Actor_1081, Actor_307",Italy,2015-08-29,2009,TV-MA,5 Seasons,"Reality TV, Animation, Romance",A compelling reality tv story about title 594 629.
s000127,TV Show,Title 88 141,Director_181,"Actor_8, Actor_136",United States,2013-11-21,2007,TV-14,5 Seasons,Fantasy,A compelling fantasy story about title 88 141.
s000128,Movie,Title 429 436,Director_759,"Actor_1166, Actor_583, Actor_1192, Actor_1297, Actor_135, Actor_567",Multiple,2008-02-20,1994,TV-MA,144 min,Family,A compelling family story about title 429 436.
s000129,Movie,Title 510 800,Director_578,"Actor_169, Actor_1217, Actor_144, Actor_1218, Actor_1538",Brazil,2011-01-01,2014,PG-13,160 min,"Animation, Thrillers",A compelling animation story about title 510 800.
s000130,Movie,Title 169 239,Director_683,"Actor_1278, Actor_1492, Actor_1016, Actor_331",United States,2020-03-12,2015,TV-PG,135 min,"Comedies, Crime, Fantasy",A compelling comedies story about title 169 239.
s000131,TV Show,Title 325 667,Director_574,"Actor_536, Actor_1986",United States,2016-02-06,2011,TV-MA,8 Seasons,Kids,A compelling kids story about title 325 667.
s000132,Movie,Title 451 564,Director_88,"Actor_1332, Actor_830, Actor_1212, Actor_900, Actor_772, Actor_295",South Korea,2005-04-09,2004,R,76 min,Comedies,A compelling comedies story about title 451 564.
s000133,Movie,Title 31 258,,"Actor_561, Actor_130, Actor_1113, Actor_995, Actor_1850",Italy,2010-12-29,2022,TV-MA,85 min,"Romance, Family, Action",A compelling romance story about title 31 258.
s000134,TV Show,Title 498 667,Director_686,"Actor_1101, Actor_124, Actor_1927, Actor_519",United Kingdom,2006-01-23,2018,TV-MA,9 Seasons,"Crime, Romance",A compelling crime story about title 498 667.
s000135,Movie,Title 44 679,Director_525,"Actor_786, Actor_28",Sweden,2012-11-14,2023,G,154 min,"Dramas, Sci-Fi",A compelling dramas story about title 44 679.
s000136,Movie,Title 404 941,Director_259,"Actor_1696, Actor_1993, Actor_1483, Actor_920, Actor_390, Actor_29",Australia,2012-03-12,1993,TV-MA,158 min,Horror,A compelling horror story about title 404 941.
s000137,TV Show,Title 288 745,Director_209,"Actor_1327, Actor_566, Actor_947, Actor_1293",Canada,2018-09-19,1990,NR,7 Seasons,"Thrillers, Horror",A compelling thrillers story about title 288 745.
s000138,TV Show,Title 582 355,Director_295,"Actor_1525, Actor_346, Actor_1602, Actor_879, Actor_1622",Brazil,2007-01-29,2017,PG,4 Seasons,"Sci-Fi, Comedies, Fantasy",A compelling sci-fi story about title 582 355.
s000139,TV Show,Title 270 109,,"Actor_1893, Actor_1644, Actor_123, Actor_511, Actor_1812",France,2017-07-25,2012,G,11 Seasons,Sci-Fi,A compelling sci-fi story about title 270 109.
s000140,Movie,Title 345 923,,"Actor_484, Actor_312, Actor_534, Actor_849, Actor_1533, Actor_577",United States,2008-03-12,1999,TV-PG,89 min,"Reality TV, Comedies, Kids",A compelling reality tv story about title 345 923.
s000141,Movie,Title 331 399,Director_789,"Actor_1254, Actor_1403, Actor_1545, Actor_1059, Actor_727, Actor_1477",Japan,2015-11-02,2014,TV-MA,82 min,"Comedies, Fantasy",A compelling comedies story about title 331 399.
s000142,TV Show,Title 333 466,Director_463,"Actor_1833, Actor_865, Actor_180, Actor_966",Mexico,2022-08-09,2010,PG-13,1 Seasons,"Animation, Fantasy, Sci-Fi",A compelling animation story about title 333 466.
